"sale_year","sale_month","cat1_name","goods_season","goods_num","sale_amount","origin_amount","settel_amount"
2013,7,"E上衣","3-秋",115,6.06,9.92,6.06
2013,7,"G皮草","4-冬",1,0.19,1,0.19
2013,7,"H打底裤","1-春",1,0.1,0.09,0.1
2013,7,"H打底裤","2-夏",3,0.09,0.16,0.09
2013,7,"H打底裤","3-秋",50,0.85,2.4,0.85
2013,7,"J马夹","2-夏",3,0.15,0.29,0.15
2013,7,"J马夹","3-秋",3,0.05,0.26,0.05
2013,7,"K梭织裤","1-春",69,2.86,5.04,2.86
2013,7,"K梭织裤","2-夏",482,24.45,38.89,24.45
2013,7,"K梭织裤","3-秋",146,7.41,14.08,7.41
2013,7,"L连衣裙","1-春",48,3.06,6.07,3.06
2013,7,"L连衣裙","2-夏",795,58.4,99.56,58.38
2013,7,"L连衣裙","3-秋",259,16.1,33.05,16.1
2013,7,"M棉衣","4-冬",25,1.58,5.91,1.58
2013,7,"N牛仔裤","1-春",47,2.25,4.68,2.25
2013,7,"N牛仔裤","2-夏",189,9.23,16.17,9.23
2013,7,"N牛仔裤","3-秋",101,3.59,10.04,3.59
2013,7,"N牛仔裤","4-冬",1,0.04,0.1,0.04
2013,7,"P皮衣","3-秋",2,0.13,1.28,0.13
2013,7,"Q腰裙","1-春",-6,-0.17,-0.44,-0.17
2013,7,"Q腰裙","2-夏",4,0.2,0.36,0.2
2013,7,"Q腰裙","3-秋",17,0.27,1.28,0.27
2013,7,"Q腰裙","4-冬",1,0.05,0.08,0.05
2013,7,"S饰品","1-春",6,0.15,0.27,0.15
2013,7,"S饰品","2-夏",5,0.1,0.23,0.1
2013,7,"S饰品","3-秋",13,0.17,0.51,0.17
2013,7,"S饰品","4-冬",1,0.04,0.13,0.04
2013,7,"T恤","1-春",82,3.08,5.49,3.08
2013,7,"T恤","2-夏",1077,45.42,83.6,45.41
2013,7,"T恤","3-秋",376,11.94,29.44,11.94
2013,7,"W外套","1-春",6,0.53,0.8,0.53
2013,7,"W外套","2-夏",21,0.73,1.84,0.73
2013,7,"W外套","3-秋",26,1.29,3.32,1.29
2013,7,"X西装","1-春",4,0.23,0.4,0.23
2013,7,"X西装","3-秋",20,0.81,2.33,0.81
2013,7,"Y羽绒服","4-冬",103,5.45,23.66,5.45
2013,8,"女装","1-春",790,12.7,70.38,12.65
2013,8,"女装","3-秋",584,10.32,71.26,10.32
2013,8,"未定义","1-春",22,1.06,2.93,1.06
2013,8,"未定义","4-冬",20,0.66,5.04,0.66
2013,8,"未定义","5-未定义",10,0.18,1.02,0.18
2013,8,"A针织衫","1-春",13,0.58,1.63,0.58
2013,8,"A针织衫","3-秋",151,8.19,20.97,8.19
2013,8,"A针织衫","4-冬",40,2.27,6.79,2.25
2013,8,"B背心","1-春",1,0.04,0.13,0.04
2013,8,"B背心","2-夏",25,0.69,1.72,0.69
2013,8,"B背心","3-秋",33,0.31,0.8,0.31
2013,8,"C衬衣","1-春",39,1.82,3.58,1.82
2013,8,"C衬衣","2-夏",159,7.52,14.75,7.45
2013,8,"C衬衣","3-秋",121,5.72,11.69,5.72
2013,8,"D大衣","3-秋",18,2.63,6.58,2.63
2013,8,"D大衣","4-冬",35,3.21,9.88,3.14
2013,8,"E上衣","2-夏",82,5.7,8.21,5.7
2013,8,"E上衣","3-秋",48,3.08,4.32,3.08
2013,8,"F风衣","1-春",3,0.04,0.42,0.04
2013,8,"F风衣","3-秋",37,3.39,8.54,3.39
2013,8,"F风衣","4-冬",8,0.74,2.11,0.74
2013,8,"G皮草","3-秋",3,1.38,4.6,1.38
2013,8,"G皮草","4-冬",9,2.28,7.89,2.28
2013,8,"H打底裤","1-春",18,0.41,1.11,0.41
2013,8,"H打底裤","2-夏",9,0.3,0.53,0.3
2013,8,"H打底裤","3-秋",38,1.13,2.16,1.13
2013,8,"J马夹","1-春",4,0.1,0.28,0.1
2013,8,"J马夹","2-夏",2,0.07,0.17,0.07
2013,8,"J马夹","3-秋",13,0.32,1.35,0.32
2013,8,"K梭织裤","1-春",86,3.22,6.73,3.2
2013,8,"K梭织裤","2-夏",282,13.85,23,13.85
2013,8,"K梭织裤","3-秋",210,11.55,22.02,11.55
2013,8,"K梭织裤","4-冬",13,0.53,1.43,0.53
2013,8,"L连衣裙","1-春",63,4.02,8.12,4.02
2013,8,"L连衣裙","2-夏",463,30.87,56.69,30.84
2013,8,"L连衣裙","3-秋",214,14.27,27.6,14.27
2013,8,"L连衣裙","4-冬",1,0.13,0.21,0.13
2013,8,"M棉衣","1-春",1,0.02,0.13,0.02
2013,8,"M棉衣","4-冬",43,2.66,10.76,2.66
2013,8,"N牛仔裤","1-春",25,1.19,2.56,1.19
2013,8,"N牛仔裤","2-夏",141,6.88,12.39,6.88
